w1,w2,w3,w4,w5,w6,CL,CD,CM
-0.470154,-0.358058,-0.321921,0.086347,0.499686,0.059768,-0.108200,0.01584000,0.033200
-0.026576,-0.030510,-0.183835,0.556659,0.339672,0.135935,0.778800,0.01550000,0.010500
-0.362649,-0.319657,-0.493319,0.261355,0.318097,0.378726,0.107500,0.01021000,0.037900
-0.515569,-0.097871,-0.471663,0.493677,0.175942,0.019812,0.126100,0.01554000,0.078300
-0.533649,-0.393882,-0.170684,0.311313,0.252731,0.562855,0.199600,0.01247000,-0.048600
-0.051783,-0.143891,-0.591712,0.181009,0.315389,0.017848,0.362300,0.01871000,0.064600
-0.343652,-0.051739,-0.313687,0.402403,0.339091,0.271311,0.490900,0.01258000,-0.013000
-0.296409,-0.527044,-0.083124,0.396907,0.353749,0.304613,0.370100,0.01274000,-0.009200
-0.462510,-0.403741,-0.243305,0.422174,0.134632,0.129765,0.031100,0.01364000,0.062400
-0.313462,-0.069797,-0.155029,0.097189,0.139100,0.549357,0.227000,0.01530000,-0.048200
-0.437425,-0.252428,-0.229581,0.145443,0.053293,0.272235,0.028500,0.01203000,0.007700
-0.017253,-0.080510,-0.071995,0.465161,0.219669,0.323259,0.812400,0.01390000,-0.038200
-0.168846,-0.184286,-0.349246,0.343950,0.415406,0.301090,0.599600,0.01332000,-0.017000
-0.226158,-0.450093,-0.544107,0.239489,0.371356,0.495280,0.118200,0.01219000,0.046700
-0.267435,-0.289296,-0.559022,0.115528,0.590481,0.300117,0.557200,0.01672000,-0.056300
-0.245691,-0.062741,-0.394733,0.252635,0.393759,0.540638,0.942200,0.01500000,-0.141100
-0.073986,-0.259612,-0.442043,0.598201,0.361184,0.475889,0.278100,0.01585000,0.103500
-0.587450,-0.567763,-0.499332,0.169797,0.053620,0.371010,-0.388500,0.01519000,0.075100
-0.267245,-0.336285,-0.169165,0.501523,0.258191,0.392769,0.399500,0.01353000,0.012200
-0.055431,-0.499739,-0.309063,0.205014,0.188244,0.348677,0.161700,0.00897000,0.052200
-0.251606,-0.244867,-0.493391,0.319972,0.489278,0.005359,0.332700,0.01531000,0.056600
-0.324755,-0.557745,-0.285749,0.516259,0.317763,0.106809,0.097400,0.01452000,0.094000
-0.237494,-0.033372,-0.190955,0.204829,0.403795,0.014561,0.484500,0.00905000,-0.017100
-0.293098,-0.150661,-0.134074,0.215427,0.304437,0.328684,0.558100,0.00874000,-0.074700
-0.563446,-0.191799,-0.315570,0.075167,0.170121,0.341416,-0.104000,0.01834000,0.000400
-0.152019,-0.354329,-0.466516,0.538093,0.424198,0.484427,0.130100,0.01535000,0.109200
-0.085655,-0.474126,-0.347284,0.336566,0.345114,0.056718,0.102900,0.01118000,0.112600
-0.252018,-0.090376,-0.100369,0.308417,0.126885,0.039572,0.338600,0.01003000,0.019300
-0.329598,-0.335568,-0.268111,0.180798,0.327363,0.159668,0.165800,0.00950000,0.016100
-0.069285,-0.331419,-0.536158,0.306622,0.254905,0.035341,0.119500,0.01319000,0.126800
-0.226521,-0.199303,-0.098524,0.326995,0.001521,0.152351,0.292100,0.01079000,0.025700
